raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
31,7,5,4,4,18,2008,Italian Grand Prix,Sébastien Bourdais,French,Toro Rosso,-14
31,3,3,5,5,14,2008,Italian Grand Prix,Nico Rosberg,German,Williams,-9
31,13,6,6,6,6,2008,Italian Grand Prix,Felipe Massa,Brazilian,Ferrari,0
31,15,7,7,7,13,2008,Italian Grand Prix,Jarno Trulli,Italian,Toyota,-6
31,4,4,8,8,4,2008,Italian Grand Prix,Fernando Alonso,Spanish,Renault,4
31,10,7,9,9,11,2008,Italian Grand Prix,Timo Glock,German,Toyota,-2
31,2,2,10,10,5,2008,Italian Grand Prix,Nick Heidfeld,German,BMW Sauber,5
31,9,2,11,11,3,2008,Italian Grand Prix,Robert Kubica,Polish,BMW Sauber,8
31,21,10,12,12,20,2008,Italian Grand Prix,Giancarlo Fisichella,Italian,Force India,-8
31,14,9,13,13,16,2008,Italian Grand Prix,David Coulthard,British,Red Bull,-3
31,8,6,14,14,9,2008,Italian Grand Prix,Kimi Räikkönen,Finnish,Ferrari,5
31,1,1,15,15,7,2008,Italian Grand Prix,Lewis Hamilton,British,McLaren,8
31,22,11,16,16,17,2008,Italian Grand Prix,Rubens Barrichello,Brazilian,Honda,-1
31,12,4,17,17,10,2008,Italian Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,7
31,6,3,18,18,12,2008,Italian Grand Prix,Kazuki Nakajima,Japanese,Williams,6
31,18,11,19,19,15,2008,Italian Grand Prix,Jenson Button,British,Honda,4
31,16,10,20,20,19,2008,Italian Grand Prix,Adrian Sutil,German,Force India,1
32,13,6,1,1,13,2008,Singapore Grand Prix,Felipe Massa,Brazilian,Ferrari,-12
32,1,1,2,2,3,2008,Singapore Grand Prix,Lewis Hamilton,British,McLaren,-1
32,8,6,3,3,15,2008,Singapore Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-12
32,9,2,4,4,11,2008,Singapore Grand Prix,Robert Kubica,Polish,BMW Sauber,-7
32,5,1,5,5,10,2008,Singapore Grand Prix,Heikki Kovalainen,Finnish,McLaren,-5
32,2,2,6,9,6,2008,Singapore Grand Prix,Nick Heidfeld,German,BMW Sauber,0
32,20,5,7,6,5,2008,Singapore Grand Prix,Sebastian Vettel,German,Toro Rosso,2
32,10,7,8,7,4,2008,Singapore Grand Prix,Timo Glock,German,Toyota,4
